"Latitude,Longitude",Name of Place,Municipality
"10.146284136749673, 124.37496490948917",Allegria Covered Court,Bien Unido
"10.14314393815599, 124.37668035131722",Bien Unido Central Elementary School,Bien Unido
"10.141347309499293, 124.37718733720321",Bien Unido Town Hall,Bien Unido
"10.12198981867266, 124.38209623318576",Mandawa Basketball Court,Bien Unido
"10.137862705031761, 124.37363757688051",Atty. Felix Garcia Gymnasium,Bien Unido
"10.136743845799527, 124.37957154263397",Bien Unido Basketball Court,Bien Unido
"10.109950207235249, 124.35589134415471",Nueva Esperanza Basketball Court,Bien Unido
"10.133036315988006, 124.37925387408426",Tuboran Basketball Court,Bien Unido
"10.105920973623467, 124.37806446863536",Liberty Elementary School,Bien Unido
"10.132817713626524, 124.36955441164369",Nueva Estrella Elementary School,Bien Unido
,,
"10.081352244354967, 124.1139535122698",Buenavista Municipal Hall,Buenavista
"10.073432040244047, 124.14381709492433",Bantuan Elementary School,Buenavista
"10.07893580866596, 124.15996192132286",Bago Elemantary School,Buenavista
"10.060964824727643, 124.11685905225072",Cangawa National High School,Buenavista
"10.05895128409531, 124.12507051838539",Cantuba Elementary School,Buenavista
"10.07785764848446, 124.10782310749633",Barangay Bato Basketball Court,Buenavista
"10.065012420696783, 124.12567589031256",Cantuba,Buenavista
"10.066702611466216, 124.11228630320039",Sitio Maubid Basketball Court,Buenavista
"10.089617976351379, 124.10720690749633",Buenavista Central Elementary School,Buenavista
"10.07136474432479, 124.10720690749633",Bato Elementary School,Buenavista
,,
"9.964039243373762, 124.04387936622068",Clarin Evacuation Center,Clarin
"9.912666634803832, 124.05187909860167",Cabog Basketball Court,Clarin
"9.970664349326714, 124.04661775876836",Nahawan National High School,Clarin
"9.950411736217294, 124.06012557091285",Caboy Elementary School,Clarin
"9.934373624914679, 124.05552572322703",Bogtongbod Elementary School,Clarin
"9.922262011153778, 124.04008733030716",Tubod Basketball Court,Clarin
"9.963453475480986, 124.02373096206773",Clarin Parish Basketball Court,Clarin
"9.963521555110091, 124.02348711550084",Bacani Elementary School,Clarin
"9.965804024463976, 124.01739313675107",Bonbon Elementary School,Clarin
"9.964366915992665, 124.025461221293",Clarin Central Elementary School,Clarin
,,
"9.908447797298216, 124.28476861465118",Malitbog Elementary School,Dagohoy
"9.881314477197945, 124.2730155766828",Dagohoy National High School,Dagohoy
"9.91955669179827, 124.33948447139147",Babag Covered Court,Dagohoy
"9.894800673178105, 124.27455409893409",Dagohoy Gymnasium,Dagohoy
"9.878954083954591, 124.25975049518571",San Vicente Elementary School,Dagohoy
"9.911834863933057, 124.30661200922447",San Miguel Covered Court,Dagohoy
"9.878814982591278, 124.25986099237494",Basketball Court,Dagohoy
"9.879303865043676, 124.25927530825523",Mark Blas HomeCourt,Dagohoy
"9.911361902680177, 124.2830085855088",Malitbog Elementary School,Dagohoy
"9.914067481343436, 124.27253724174162",Cagawitan Elementary School,Dagohoy
"9.89347240155364, 124.27324531716874",Dagohoy Central Elementary School,Dagohoy
,,
"9.985157907180248, 124.2148114692786",Cantubod High School,Danao
"9.94337216221192, 124.2243701195039",Danao National High School,Danao
"9.976379558971695, 124.16671882057882",Cabatuan Elementary School,Danao
"9.935573177283553, 124.21027690618624",Hibale Elementary School,Danao
"9.94213145445303, 124.18609903067217",Nahud Elementary School,Danao
"9.956761274185272, 124.1894434380621",Magtangtang Covered Court,Danao
"9.957507606900576, 124.18918284618744",Magtangtang Elementary School,Danao
"9.963026168584573, 124.20880228648652",Carbon Elementary School,Danao
"9.562930025047846, 123.7611143963986",Danao Elementary School,Danao
"9.964401301932043, 124.20896991929499",Tabok Elementary School,Danao
,,
"10.10370584921763, 124.14249811049737",Campao Oriental High School,Getafe
"10.10704088552456, 124.1406288139956",Campao Elementary School,Getafe
"10.13038530565268, 124.14246128445009",Tugas Elementary School,Getafe
"10.13793196237766, 124.15239385385571",Saguise Elementary School,Getafe
"10.148594743157572, 124.2088866985222",Tulang National High School,Getafe
"10.150283199449344, 124.15305150853389",Getafe Basketball Court,Getafe
"10.111107530321155, 124.14965756579147",Ilawod covered court,Getafe
"10.151720722503082, 124.15410897928626",Getafe Central Elementary School,Getafe
"10.130384155941767, 124.17504984715397",San Jose Elementary School,Getafe
"10.139642766953042, 124.16941767786142","Taytay Elementary School, Taytay, Getafe, Bohol",Getafe
,,
"9.94693060031363, 124.15264677755918",San Jose National High School,Inabanga
"9.995139913358607, 124.06718640697864",Southern Inabanga National High School,Inabanga
"10.00138300958572, 124.0678332816896",Badiang Elementary School,Inabanga
"10.004566470320048, 124.0609065741074","Basketball Court, Cagawasan, Inabanga, Bohol",Inabanga
"10.005362622351662, 124.06102022019478",Cagawasan Elementary School,Inabanga
"10.029221586487653, 124.06809667154812",Cogon Basketball Court,Inabanga
"9.995525889518326, 124.0926554398276",Napo Covered Court,Inabanga
"9.979933713856457, 124.05457957154813","Barangay Hall & Basketball Covered Court of UBUJAN,INABANGA, BOHOL",Inabanga
"10.033353509933498, 124.09131510684944",Inabanga High School - Nabuad,Inabanga
"10.030267645626799, 124.06737089315972",Inabanga South Central Elementary School,Inabanga
,,
"10.125360427886783, 124.57774385208037",Bonbonon High School,Pitogo 
"10.061542790708108, 124.53690288694207",Popoo Elementary School,Pitogo
"10.059631365600437, 124.55172483429017",Baud Elementary School,Pitogo
"10.091178497368217, 124.55505883098294",Mayor Inocencio B. Mendez National High School,Pitogo
"10.089475231240492, 124.55477041902833",Villa Milagrosa Elementary School,Pitogo
"10.110441968262377, 124.55147094060447",San Vicente Elementary School,Pitogo
"10.121457595127293, 124.55257606287924",Pres. Carlos P. Garcia Elementary School,Pitogo
"10.088793693400124, 124.5947720361302",Aguining Basketball Court,Pitogo
"10.151939301909751, 124.61785564270913",Tugas Covered Court,Pitogo
"10.099087796882669, 124.54114997887447",Purok 4 Sitio Katipunan Basketball Court,Pitogo
"10.086124160599589, 124.59317351383844",Aguining National High School,Pitogo
"10.10998608818298, 124.57904177531289",Tugnao Elementary School,Pitogo
"10.11161173690941, 124.52886985883573",Campamanog High School,Pitogo
"10.071100095389474, 124.55205779823582",Basiao Elementary School,Pitogo
,,
"9.879669043135177, 124.0719329884307",Japer Memorial High School,Sagbayan
"9.880839633938178, 124.07273034240511",Sta. Catalina Elementary School,Sagbayan
"9.87195935663077, 124.09272293505059",San Roque's Barangay Hall and Basketball Court,Sagbayan
"9.894590533191662, 124.10078194685845",San Vicente Sur Elementary School,Sagbayan
"9.903140185807896, 124.10524694415206",San Vicente Norte Elementary School,Sagbayan
"9.900399300554831, 124.1243808593158",Canmano Elementary School,Sagbayan
"9.92145759440579, 124.11923914137594",Clemente Borja Memorial High School (Sagbayan),Sagbayan
"9.90326192820911, 124.12301299130132",Brgy. Canmano Basketball Court,Sagbayan
"9.874851305038634, 124.09108397463757",San Roque Elementary School,Sagbayan
"9.920171846251668, 124.09726378431444",Sagbayan Central Elementary School,Sagbayan
"9.932756545032598, 124.07111770810707",San Agustin Elementary School,Sagbayan
"9.904614753737182, 124.08730742427947",Sagbayan Sur Elementary School,Sagbayan
"9.930317378234182, 124.07082793180787",San Agustin National High School,Sagbayan
"9.896159502711702, 124.09348723395635",Ubojan Elementary School,Sagbayan
"9.916451739117022, 124.11339995402622",San Antonio Elementary School,Sagbayan
"9.935728200045157, 124.07975432356334",CANMAYA CENTRO ELEMENTARY SCHOOL,Sagbayan
"9.92761193377812, 124.13434264237557",Katipunan Elementary School,Sagbayan
"9.929979198900147, 124.10928008090832",San Ramon Elementary Schoo,Sagbayan
"9.91983365643932, 124.09966704363322",Sta. Cruz Elementary School,Sagbayan
"9.93133191413952, 124.11751982714411",Mantalongon Elementary School,Sagbayan
,,
"9.8478505518551, 123.94006693325588",Cambansag High School,San Isidro
"9.849316859438956, 123.97214094361753",Caimbang Elementary School,San Isidro
"9.8943040602693, 123.97276719906081",Cabanugan National High School,San Isidro
"9.892028366847326, 123.91530486292241",Candungao Elementary School,San Isidro
"9.878964877026906, 123.96784172212264",Causwagan Primary School,San Isidro
"9.85505605777095, 123.95533345772321",San Isidro National High School,San Isidro
"9.836438242427803, 123.92996615825801",Abehilan Elementary School,San Isidro
"9.832579873303441, 123.95979003651611",Cansague Sur Elementary School,San Isidro
,,
"9.993382454575348, 124.29221874267904",Sebastian A. Jala Memorial High School,San Miguel
"10.022540163228603, 124.38180481867074",Sitio Kaignoy Court,San Miguel
"10.002552372687504, 124.38921503501363",Corazon Elementary School,San Miguel
"9.997338493592823, 124.35957158282407",Cambangay Norte Elementary School,San Miguel
"10.011971474425296, 124.3832098871942",Bugang National High School,San Miguel
"9.982272775308832, 124.35517817453272",Bayongan Covered Court & Barangay Hall,San Miguel
"9.936284486883274, 124.3057396971179",Mahayag Covered Court,San Miguel
"9.992327012801114, 124.34319600810707",San Miguel Technical Vocational School,San Miguel
"9.959390449747005, 124.32441452602846",Camanaga Elementary School,San Miguel
"10.000503735260269, 124.3609623308669",Cambangay Norte Elementary School,San Miguel
"9.943329054155546, 124.31511783982758",Mahayag National High School,San Miguel
"9.975084645508398, 124.35526667154811",Bayongan Elementary School,San Miguel
"10.002542217428381, 124.3888937843144",Corazon Elementary School,San Miguel
