"Latitude,Longitude",Name of Place,Municipality
"9.53710152840549, 124.08712850835413",Cupa Basketball Covered Court,Garcia Hernandez
"9.625120287919612, 124.00885092093431",East Canayaon Basketball Court,Garcia Hernandez
"9.658320920030143, 124.27344591644581",Garcia Hernandez Central Elementary School,Garcia Hernandez
"9.657474777934576, 124.28305895349735",Abijilan Elementary School,Garcia Hernandez
"9.653413266279392, 124.28683550376762",Cayam Elementary School,Garcia Hernandez
,,
"9.793636551149062, 124.50988947032947"," Guio-ang, Guindulman",Guindulman
"9.764201456537531, 124.48757349145978",Guindulman Municipal Gymnasium,Guindulman
"9.80043843905176, 124.39835023816562",Tambis Elementary School,Guindulman
,,
,,
"9.66492306223274, 124.35215171104478",Evacuation Center,Jagna
"9.744312843571706, 124.34882461522938",Mayana Covered Court,Jagna
"9.639860678972706, 124.35896717660528",Jagna National High School,Jagna
"9.726084173986587, 124.29731321522937",Calabacita National High School,Jagna
,,
"9.624169451725654, 124.13126899025467",Bonkokan Ilaya Basketball Court,Lila
"9.601750413467006, 124.09624916241305","Lila, National High School",Lila
"9.593277170300645, 124.09662748366932",Lila Gym,Lila
,,
"9.60437023838946, 124.00427016919741",Villalimpia Basketball Court,Loay
"9.609947899298573, 123.97942008362031",Alegeria Elementary School,Loay
"9.595561134441047, 124.04482306784607",Tocdog Elementary School,Loay
"9.604024011320062, 124.01117743816565",Holy Trinity Academy,Loay
"9.625349522570382, 123.99624289846054",Concepcion Elementary School,Loay
"9.61739492562192, 124.00448264450473",Tambangan Elementary School,Loay
,,
"9.659469376531057, 124.03834743038142",Bagumbayan Elementary School,Loboc
"9.628773035540886, 124.02873955323511",Camaya-an National High School,Loboc
"9.66914954974126, 124.04925983045874",Quinoguitan Elementary School,Loboc
"9.640693858156682, 124.03037965357947",Loboc JAD COMPLEX,Loboc
"9.656374636198795, 124.00467783045875",Oy Barangay Hall,Loboc
,,
"9.901103774722262, 124.5383669637319",Minol Barangay Hall,Mabini
"9.865886400752322, 124.52350581104764",Mabini Bohol Municipal Gymnasium,Mabini
"9.865419223045583, 124.52064952880741",Mabini Central Elementary School,Mabini
"9.868903451175635, 124.49674798647932",Tangkigan Elem. School,Mabini
"9.916996770639988, 124.55046537298733",Lungsodaan Elementary School,Mabini
"9.907899892238518, 124.52479784653154",San Roque Elementary School,Mabini
"9.919083190025693, 124.54745490367527",Lungsodaan High School,Mabini
"9.874455568894039, 124.54414999997134",Minol Elem. School,Mabini
,,
"9.841811750061048, 124.33058068093641",Pilar Central Elementary School,Pilar
"9.864136828930262, 124.34877678678401",Bagumbayan Elementary School,Pilar
"9.83978212255092, 124.33298394019931",Bagacay Elementary School,Pilar
"9.87834291001676, 124.33607384496587",Estaca Elementary School,Pilar
"9.842346403249373, 124.33385784198227",San Vicente Elementary School,Pilar
"9.822726180282862, 124.33008129171202",Lumbay Elementary School 23 Mak,Pilar
"9.916899830278338, 124.3552163694027",San Isidro Elementary School,Pilar
"9.835698186251284, 124.33213516686703",Municipal Evacuation Center,Pilar
,,
"9.71027952810125, 124.04282417701893",Lagtangan Elementary School,Sevilla
"9.702665350668072, 124.04582825109756",Sevilla Central Elementary School,Sevilla
,,
"9.82866864711778, 124.2601077992473",San Juan Covered Court,Sierra Bullones
"9.79416191532274, 124.26903419079518",REO TARAY Covered Court,Sierra Bullones
"9.810591144423807, 124.2896871677971",Sierra Bullones Technical-Professional School,Sierra Bullones
"9.791307361737312, 124.27097607782176",Bugsoc High School,Sierra Bullones
"9.759817516099174, 124.32733702773763",Canta-Ub Elementary School,Sierra Bullones
"9.75294060435549, 124.35472389734063",Bangwalog National High School,Sierra Bullones
"9.788804920558709, 124.27129646836445",Bangwalog Elementary School,Sierra Bullones
"9.79015821523488, 124.27026650010893",Bugsoc Elementary School,Sierra Bullones
"9.761737869913157, 124.29361244723414",Cahayag Elementary School,Sierra Bullones
"9.778655034755515, 124.31386848959276",Dusita National High School,Sierra Bullones
"9.83228920129086, 124.2797637875841",San Agustin Barangay Hall,Sierra Bullones
,,
"9.618414065352868, 124.19842609841548",THADEOUS ACERO COVERED COURT,Valencia
"9.62196746368381, 124.2143225526626",Brgy. Catug-an Basketball Court,Valencia
"9.635899378118097, 124.21317193467732",Valencia Technical-Professional School,Valencia
"9.664658144028282, 124.22669681010021",Ginopolan Elementary School,Valencia
"9.609317020102731, 124.21450885240982",Necah Emmanuel Academy,Valencia
"9.684654400336662, 124.22230941438181",La Victoria Elementary School,Valencia
"9.638348874092385, 124.22953027966057",Ticum Elementary School,Valencia
"9.614061734060916, 124.21029283393956",Valencia Technical-Professional School Sports Complex,Valencia
"9.61135371677248, 124.20960618843591",Valencia Central Elementary School,Valencia
