"Latitude,Longitude",Name of Place,Municipality
"10.13790200288567, 124.31555805572438",San Jose Basketball Court,Talibon
"10.126528937051628, 124.31007471774146",San Agustin Covered Court,Talibon
"10.14460921363881, 124.32060066336132",San Jose National High School,Talibon
"10.152706053652743, 124.32537904102628",Talibon Central Elementray School,Talibon
"10.15659707604884, 124.31568437588582",San Francisco Elementary School,Talibon
"10.13742982166889, 124.31341079039818",Centro San Jose Basketball Court,Talibon
"10.139422803184097, 124.33919011194953",San Pedro Elementary School,Talibon
"10.15034145122816, 124.26391194824755",Tanghaligue Elementary School,Talibon
"10.089752174040468, 124.31980415423493",San Roque Elementary School,Talibon
"10.12342632500585, 124.28213167213296",Burgos Elementary Sschool,Talibon
"10.108456445064453, 124.31391304937026",San Agustin National High School,Talibon
"10.122750468909306, 124.28213117213299",Rizal Elementary School,Talibon
"10.180791064159664, 124.36777826450273",Jao Elementary School,Talibon
"10.23342379624041, 124.28458784528588",Guindacpan Elementary School,Talibon
"10.129219903367408, 124.31731939620555",Balintawak Elementary School,Talibon
"10.105158822702714, 124.27113647089597",Sikatuna Elementary School,Talibon
"10.251072876394515, 124.29393320870943",Calituban Elementary School,Talibon
"10.170489235523563, 124.3515746242064",Busalian Elementary School,Talibon
"10.14474896415836, 124.33698385423493",San Isidro High School,Talibon
"10.175666631045614, 124.36722153855872",Mayor Catalino Y. Casoyla Memorial High School,Talibon
"10.140680621374852, 124.31155003165183",Alejandro P. Gurrea Elementary School,Talibon
,,
,,
"9.890285870795697, 124.43980230093342",Alicia Multi-Purpose Covered Court,Alicia
"9.919384878805122, 124.35453532660746",San Isidro Covered Court,Alicia
"9.881447585356197, 124.42558732412436",Del Monte Covered Court,Alicia
"9.894937737840113, 124.41877679470932",Untaga Basketball Court,Alicia
"9.88950944190296, 124.44510112018311",Alicia Central Elementary School,Alicia
"9.894520340981217, 124.44331271331446",Alicia Technical-Vocational High School,Alicia
"9.88599958527626, 124.43677651579596", Alicia Central Elementary School (ACES-ANNEX),Alicia
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"10.045544011853163, 124.49420191614564",Barangay Tipolo Covered Court,Ubay
"10.001313642809416, 124.41402763542294",Hambabauran Covered Court,Ubay
"9.95514986323218, 124.42963506456077",San Pascual Covered Court,Ubay
"10.057358850285363, 124.47401655834594",Ubay Central Elementary School,Ubay
"9.917011093481813, 124.38037372309986",Governor Boyles Elementary School,Ubay
"9.975448717198407, 124.56759993983002",Cuya Elementary School,Ubay
"9.985648765934265, 124.53201100736648",Biabas Elementary School,Ubay
"10.061673940468134, 124.43491001658623",Camambugan National High School,Ubay
"9.962570553304204, 124.43204788644506",San Pascual Elementary School,Ubay
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"10.075379456743, 124.33631435247872","Purok 6, Brgy Covered Court ",Trinidad
"10.093958911348299, 124.36359694144255",La Victoria Covered Court,Trinidad
"10.08328713086488, 124.34387441714681",Trinidad 1 Central Elementary School,Trinidad
"10.034820048205543, 124.34632417717734",Trinidad 2 Central Elementary School,Trinidad
"10.072857991294962, 124.37619553855875",Tagum Sur National High School,Trinidad
"10.070057885312643, 124.37486965186994",Tagum Sur Elementary School,Trinidad
"10.027568640478055, 124.23983124086162",Diis Elementary School,Trinidad
"10.044853398300765, 124.3265240306308",Santo Tomas Elementary School,Trinidad
"10.06257406919963, 124.39567326132145",Soom Integrated School,Trinidad
"10.053697798412172, 124.32298561579597",Kinan-oan High School,Trinidad
"10.061353663587868, 124.39328771579599",Soom High School,Trinidad
"10.047555517376212, 124.2747889692494",Loblob Elementary School,Trinidad
"10.039776131583888, 124.38133193855872",Mahagbu Elementary Sschool,Trinidad
"10.033207602950952, 124.34536365441461",Hinlayagan National High School,Trinidad
"10.029438330543183, 124.26133856350262",Kauswagan National High School,Trinidad
"10.013952124130387, 124.33098473732542",Bongbong Elementary School,Trinidad
"10.05253302461607, 124.32517150786806",Kinan-oan Elementary School,
,,
,,
,,
"9.829101769115137, 124.45599614087115",Abilihan Basketball Court,Candijay
"9.80373380906435, 124.49171424366817",Tugas Covered Court,Candijay
"9.833940564175268, 124.54427176126157",Panas Basketball Court,Candijay
"9.810844736069859, 124.49868812264296",Candijay National High School,Candijay
"9.818406744317281, 124.4964041194384",Candijay Elementary School,Candijay
"9.81826610205283, 124.49120530899162",Candijay National Science High School,Candijay
"9.837953712386918, 124.48077383330619",Lungsodaan Elementary School,Candijay
"9.838191084535323, 124.48210520984186",San Isidro Elementary School,Candijay
"9.837215875730928, 124.53026025189732",Cogtong Elementary School,Candijay
"9.836751089529754, 124.53052613131902",Cogtong National High School,Candijay
"9.830750663354575, 124.44213471573613",Tambongan National High School,Candijay
"9.867648418866747, 124.46369904543415",Pagahat Primary School,Candijay
"9.838219902377666, 124.48601502501243",Boyoan Elementary School,Candijay
"9.841628123322991, 124.42139587213299",Canawa Elementary School,Candijay
"9.86224782477353, 124.4303351266075",Luan Elementary School,Candijay
"9.856767058388991, 124.46782675423039",La Union National High School,Candijay
"9.82916336369411, 124.4357040371172",Cadapdapan Elementary School,Candijay
"9.80995357102075, 124.46094091431377",Cambane Primary School,Candijay
"9.859183279786778, 124.44365746318395",Anoling High School,Candijay
"9.799252720682668, 124.4832419573003",Mahangin Elementary School,Candijay
"9.81683737391817, 124.4999878754264",Panas Elementary School,Candijay
"9.852218043030845, 124.44430569411502",Anoling Elementary School,Candijay
"9.802007609639267, 124.49162670479167",Tugas Elementary School,Candijay
"9.817679685095111, 124.49972126795333",La Uniion Elementary School,Candijay
"9.816842259756772, 124.5000280787467",Tawid Primary School,Candijay
"9.816824889770336, 124.4999669827806",Mahangin Primary School,Candijay
"9.84623230034101, 124.45613881579598",Tubod Elementary School,Candijay
"9.825058916844528, 124.52117694181214",Tawid Elementary School,Candijay
"9.70050400023502, 124.40589770668524",Mawi Covered Court and Multi-Purpose Hall,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"9.722666399845531, 124.42852503321984",Guinsularan Covered Court,Duero
"9.695126834337936, 124.39152192968886",Duero National High School,Duero
"9.708533511357999, 124.40647067807792",Duero Central Elementary School,Duero
"9.724536442053695, 124.4336661676088",Guinsularan National High School,Duero
