"Latitude,Longitude",Name of Place,Municipality
"9.662506948454046, 123.84903408012013",Booy Covered Court,Tagbilaran City
"9.658188575847957, 123.87427289796396",Bohol Evacuation Center,Tagbilaran City
"9.688685531567934, 123.88982698954912",Cabawan Elementary Shool,Tagbilaran City
"9.679122186955738, 123.8805179126514",San Isidro National High School,Tagbilaran City
"9.689056190873245, 123.86323454181718",Manga National High School,Tagbilaran City
,,
"9.617509, 123.961539",Evacuation Center,Albuerquerque
"9.664425947104988, 123.96246581633143",Cantiguib Barangay Hall,Albuerquerque
"9.615898100756844, 123.94357852427873",Bahi BAsketball Court,Albuerquerque
"9.636366535284319, 123.95288222074558",Toril Elementary School,Albuerquerque
"9.613856967621315, 123.9571737552302",Alburquerque Central Elementary School,Albuerquerque
"9.656843860288143, 123.96901839040778",Dangay Elementary School,Albuerquerque
"9.630950836490108, 123.96335356488807",San Roque National High School,Albuerquerque
,,
"9.824145298792988, 124.06498631549387",Mahayag Norte Elementary School,Catigbian 
"9.847426807442327, 124.04399488578817",Baang Elementary School,Catigbian 
"9.86042202361806, 124.01497291928484",Catigbian NAtional High School,Catigbian 
"9.866721890880434, 124.03163730976867",Alegria Elementary School,Catigbian 
"9.85630484731314, 124.00147855158916",Catigbian gymnasium,Catigbian 
"9.85950768722397, 124.00321662302763",Catigbian Central Elementary School,Catigbian 
"9.852002633847691, 123.99811237988683",Central West Elementary School,Catigbian 
,,
"9.674643715529562, 123.91583054074685",Tanday Elementary School,Corella
"9.690401958210522, 123.90694456953953",Anislag Elementary School,Corella
"9.672471710293324, 123.9469926631183",Cancatac Barangay Hall,Corella
,,
"9.719595988844432, 123.92740511519615",Fatima National High School,Cortes
"9.726902183812214, 123.89238774653549",Malayo Elementary School,Cortes
"9.725606792703813, 123.90348268729534",San Roque Elementary School,Cortes
"9.740354015152091, 123.90724166568691",Loreto Elementary School,Cortes
"9.739660192223853, 123.90703444795301",Loreto High School,Cortes
"9.721112539643073, 123.87676119681473",Cortes Central Elementary School,Cortes
,,
"9.59847817746953, 123.79731732229662",Lourdes NAtional High School,Dauis
"9.624331365889752, 123.82184106538658",Tabalong National High School,Dauis
"9.617637372128748, 123.84459050813187",Mariveles Elementary School,Dauis
"9.636844555343854, 123.8479525959715",Basketball Court,Dauis
"9.626469903781437, 123.86477147767566",Poblacion Dauis Covered Court,Dauis
"9.625747238416187, 123.8195282465014",Brgy. Tabalong Covered Court,Dauis
"9.595346177635552, 123.84648523857054",Biking Del Carmen Covered Court,Dauis
"9.59603712310625, 123.79004002374266",Lourdes Basketball Court,Dauis
,,
"9.687484, 123.973702",Municipal Covered Court,Sikatuna
"9.685648674723202, 123.99463005767102",Cambuac Norte Barangay Hall,Sikatuna
